From Date,PM10,NO,NO2,WS,CO,Benzene,NOx,Ozone,SO2,NH3,Toluene,PM2.5
01-01-2019 00:00,752.78,179.68,111.66,0.3,3.52,20.45,251.7,22.86,10.79,93.35,58.33,492.03
01-01-2019 08:00,408.19,135.13,148.64,0.53,4.57,9.75,189.21,22.68,13.86,104.4,31.63,266.16
01-01-2019 16:00,475.85,123.27,177.02,0.31,5.66,17.79,176.38,26.04,21.74,89.24,89.25,382.5
02-01-2019 00:00,771.27,357.61,106.05,0.3,5.96,20.9,350.56,61.84,5.99,109.64,99.34,545.28
02-01-2019 08:00,495.06,75.6,125.28,1.13,1.56,10.11,128.26,34.37,19.54,108.53,57.46,344.22
02-01-2019 16:00,610.09,85.58,165.28,0.31,4.64,19.41,145.05,26.71,17.16,100.88,63.73,365.91
03-01-2019 00:00,777.33,412.14,94.47,0.3,5.06,27.62,401.22,26.14,8.84,98.55,83.15,570.06
03-01-2019 08:00,522.16,162.34,180.76,1.09,2.68,12.12,228.45,23.51,12.86,99.51,43.87,358.97
03-01-2019 16:00,463.44,216.09,125.19,0.45,4.31,13.06,242.75,21.18,8.13,83.8,42.18,309.62
04-01-2019 00:00,369.34,130.62,57.55,0.38,3.15,10.14,137.11,19.49,2.02,74.97,26.86,290.91
04-01-2019 08:00,333.97,136.91,123.31,0.5,3.07,10.09,177.15,21.47,5.12,101.4,33.29,228.81
04-01-2019 16:00,590.25,320.18,137.6,0.3,4.25,19.01,331.04,29.47,9.81,92.29,66.47,356.12
05-01-2019 00:00,444.56,91.86,68.21,0.35,4.01,12.23,111.13,25.63,4.39,80.05,68.85,334.22
05-01-2019 08:00,285.22,17.27,81.8,2.26,5.58,8.19,57.58,25.09,8.04,85.09,31.82,203.44
05-01-2019 16:00,299.69,57.09,106.5,0.84,2.85,9.46,103.19,21.12,7.17,71.4,40.43,187.34
06-01-2019 00:00,273.31,45.84,66.23,0.93,4.48,7.45,72.6,22.26,2.96,65.11,37.56,212.31
06-01-2019 08:00,168.25,103.93,79.72,0.81,2.85,5.62,127.12,44.86,4.69,84.71,24.68,135.53
06-01-2019 16:00,384.5,235.97,117.7,0.3,3.49,11.76,251.77,22.6,7.54,90.65,44.02,227.72
07-01-2019 00:00,240.97,146.24,62.22,0.3,1.73,8.26,152.39,20.06,4.52,76.4,33.52,179.19
07-01-2019 08:00,304,151.56,126.17,0.92,2.72,9.44,190.67,21.62,8.43,105.53,35.14,204.91
07-01-2019 16:00,365.94,301.2,142.55,0.38,2.12,14.23,319.6,20.1,10.26,80.18,51.18,209.44
08-01-2019 00:00,237.53,166.69,70.66,0.32,1,7.24,173.52,20.69,4.92,60.22,28.47,154.19
08-01-2019 08:00,243.03,143.86,102.7,1.29,1.49,5.61,171.93,17.73,8.41,75.07,25.76,150.25
08-01-2019 16:00,259.56,199.07,117.69,0.5,2.08,8.18,224.99,13.64,8.11,67.43,34.72,153.53
09-01-2019 00:00,259.38,118.58,75.27,0.42,1.47,6.54,136.94,12.82,4.37,62.15,21.87,180.94
09-01-2019 08:00,240.56,118.91,105.04,1.95,1.62,5.51,152.82,16.04,10.3,59.88,27.95,126.28
09-01-2019 16:00,329.16,328.3,129.47,0.54,2.9,11.51,335.58,13.93,10.2,56.37,39.42,158.56
10-01-2019 00:00,341.34,248.39,98.81,0.3,1.72,9.76,255.04,12.5,4.95,56.78,30.38,189.06
10-01-2019 08:00,311,151.13,133.67,0.8,3.82,8.59,194.41,14.57,10.39,69.18,31.89,174.22
