Date,PM2.5 Anand vihar,PM2.5 Bawana,PM2.5 DTU,PM2.5 Vivek Vihar
09-07-2015,67.4,0.0,0,0
10-07-2015,59.24,0.0,0,0
11-07-2015,23,0.0,0,0
12-07-2015,0,0.0,0,0
13-07-2015,0,0.0,0,0
14-07-2015,63.87,0.0,0,0
15-07-2015,79.62,0.0,0,0
16-07-2015,81.78,0.0,0,0
17-07-2015,87.48,0.0,0,0
18-07-2015,86.36,0.0,0,0
19-07-2015,87.15,0.0,0,0
20-07-2015,54.02,0.0,0,0
21-07-2015,38.72,0.0,0,0
22-07-2015,44.88,0.0,0,0
23-07-2015,41.03,0.0,0,0
24-07-2015,56.22,0.0,0,0
25-07-2015,51.5,0.0,0,0
26-07-2015,30.16,0.0,0,0
27-07-2015,21.75,0.0,0,0
28-07-2015,19.91,0.0,0,0
29-07-2015,15.29,0.0,0,0
30-07-2015,23.39,0.0,0,0
31-07-2015,48.81,0.0,0,0
01-08-2015,52.98,0.0,0,0
02-08-2015,64.22,0.0,0,0
03-08-2015,99.29,0.0,0,0
04-08-2015,80.51,0.0,0,0
05-08-2015,72.57,0.0,0,0
06-08-2015,95.03,0.0,0,0
07-08-2015,77.88,0.0,0,0
08-08-2015,85.66,0.0,0,0
09-08-2015,60.95,0.0,0,0
10-08-2015,123.26,0.0,0,0
11-08-2015,125.39,0.0,0,0
12-08-2015,51.61,0.0,0,0
13-08-2015,64.54,0.0,0,0
14-08-2015,76.14,0.0,0,0
15-08-2015,60.25,0.0,0,0
16-08-2015,81.04,0.0,0,0
17-08-2015,91.03,0.0,0,0
18-08-2015,87.9,0.0,0,0
19-08-2015,52.11,0.0,0,0
20-08-2015,84.92,0.0,0,0
21-08-2015,81.36,0.0,0,0
22-08-2015,52.3,0.0,0,0
23-08-2015,58.16,0.0,0,0
24-08-2015,46.91,0.0,0,0
25-08-2015,79.38,0.0,0,0
26-08-2015,96.83,0.0,0,0
27-08-2015,97.92,0.0,0,0
28-08-2015,88.81,0.0,0,0
29-08-2015,95.03,0.0,0,0
30-08-2015,81.15,0.0,0,0
31-08-2015,69.67,0.0,0,0
01-09-2015,99.86,0.0,0,0
02-09-2015,110.16,0.0,0,0
03-09-2015,103.97,0.0,0,0
04-09-2015,105.35,0.0,0,0
05-09-2015,95.65,0.0,0,0
06-09-2015,67.09,0.0,0,0
07-09-2015,69.7,0.0,0,0
08-09-2015,81.38,0.0,0,0
09-09-2015,69,0.0,0,0
10-09-2015,66.91,0.0,0,0
11-09-2015,79.69,0.0,0,0
12-09-2015,99.6,0.0,0,0
13-09-2015,121.93,0.0,0,0
14-09-2015,145.92,0.0,0,0
15-09-2015,119.58,0.0,0,0
16-09-2015,104.56,0.0,0,0
17-09-2015,102.52,0.0,0,0
18-09-2015,61.57,0.0,0,0
19-09-2015,91.36,0.0,0,0
20-09-2015,78.24,0.0,0,0
21-09-2015,54.87,0.0,0,0
22-09-2015,32.85,0.0,0,0
23-09-2015,37.53,0.0,0,0
24-09-2015,91.36,0.0,0,0
25-09-2015,98.92,0.0,0,0
26-09-2015,104.2,0.0,0,0
27-09-2015,106.14,0.0,0,0
28-09-2015,74.01,0.0,0,0
29-09-2015,75.73,0.0,0,0
30-09-2015,65.33,0.0,0,0
01-10-2015,91.14,0.0,0,0
02-10-2015,97.71,0.0,0,0
03-10-2015,115.95,0.0,0,0
04-10-2015,187.12,0.0,0,0
05-10-2015,285.35,0.0,0,0
06-10-2015,197.59,0.0,0,0
07-10-2015,156.92,0.0,0,0
08-10-2015,192.27,0.0,0,0
09-10-2015,202.44,0.0,0,0
10-10-2015,277.19,0.0,0,0
11-10-2015,174.52,0.0,0,0
12-10-2015,165.44,0.0,0,0
13-10-2015,104.96,0.0,0,0
14-10-2015,84.21,0.0,0,0
15-10-2015,128.66,0.0,0,0
16-10-2015,187.88,0.0,0,0
17-10-2015,0,0.0,0,0
18-10-2015,207.81,0.0,0,0
19-10-2015,233.43,0.0,0,0
20-10-2015,272.21,0.0,0,0
21-10-2015,206.15,0.0,0,0
22-10-2015,125.19,0.0,0,0
23-10-2015,181.4,0.0,0,0
24-10-2015,245.74,0.0,0,0
25-10-2015,177.02,0.0,0,0
26-10-2015,130.49,0.0,0,0
27-10-2015,130.22,0.0,0,0
28-10-2015,132.86,0.0,0,0
29-10-2015,117.94,0.0,0,0
30-10-2015,121.02,0.0,0,0
31-10-2015,0,0.0,0,0
01-11-2015,248.86,0.0,0,0
02-11-2015,285.62,0.0,0,0
03-11-2015,360.54,0.0,0,0
04-11-2015,405.7,0.0,0,0
05-11-2015,183.62,0.0,0,0
06-11-2015,183.58,0.0,0,0
07-11-2015,483.17,0.0,0,0
08-11-2015,257.09,0.0,0,0
09-11-2015,306.27,0.0,0,0
10-11-2015,347.05,0.0,0,0
11-11-2015,261.01,0.0,0,0
12-11-2015,397.74,0.0,0,0
13-11-2015,453.84,0.0,0,0
14-11-2015,332.7,0.0,0,0
15-11-2015,365.48,0.0,0,0
16-11-2015,289.89,0.0,0,0
17-11-2015,180.72,0.0,0,0
18-11-2015,316.04,0.0,0,0
19-11-2015,387.08,0.0,0,0
20-11-2015,361,0.0,0,0
21-11-2015,477.25,0.0,0,0
22-11-2015,359.94,0.0,0,0
23-11-2015,321.31,0.0,0,0
24-11-2015,361.2,0.0,0,0
25-11-2015,207.18,0.0,0,0
26-11-2015,303.63,0.0,0,0
27-11-2015,290.82,0.0,0,0
28-11-2015,228.28,0.0,0,0
29-11-2015,370.93,0.0,0,0
30-11-2015,449.01,0.0,0,0
01-12-2015,259.23,0.0,0,0
02-12-2015,228.01,0.0,0,0
03-12-2015,271.6,0.0,0,0
04-12-2015,287.07,0.0,0,0
05-12-2015,349.46,0.0,0,0
06-12-2015,283.32,0.0,0,0
07-12-2015,362.2,0.0,0,0
08-12-2015,476.98,0.0,0,0
09-12-2015,353.83,0.0,0,0
10-12-2015,272.01,0.0,0,0
11-12-2015,270.11,0.0,0,0
12-12-2015,268.74,0.0,0,0
13-12-2015,213.81,0.0,0,0
14-12-2015,193.17,0.0,0,0
15-12-2015,0,0.0,0,0
16-12-2015,0,0.0,0,0
17-12-2015,0,0.0,0,0
18-12-2015,0,0.0,0,0
19-12-2015,0,0.0,0,0
20-12-2015,0,0.0,0,0
21-12-2015,0,0.0,0,0
22-12-2015,463.21,0.0,0,0
23-12-2015,478.01,0.0,0,0
24-12-2015,199,0.0,0,0
25-12-2015,188.87,0.0,0,0
26-12-2015,209.67,0.0,0,0
27-12-2015,215.43,0.0,0,0
28-12-2015,202.83,0.0,0,0
29-12-2015,194,0.0,0,0
30-12-2015,287.57,0.0,0,0
31-12-2015,293.47,0.0,0,0
01-01-2016,360.81,0.0,0,0
02-01-2016,327.92,0.0,0,0
03-01-2016,341.32,0.0,0,0
04-01-2016,480.07,0.0,0,0
05-01-2016,433.35,0.0,0,0
06-01-2016,371.8,0.0,0,0
07-01-2016,468.02,0.0,0,0
