"CENTRAL POLLUTION CONTROL BOARD","","","","","","","",""
"CONTINUOUS AMBIENT AIR QUALITY","","","","","","","",""
"Date: Sunday, Dec 20 2020","","","","","","","",""
"Time: 12:48:38 AM","","","","","","","",""
"State","Delhi","","","","","","",""
"City","Delhi","","","","","","",""
"Station","Vivek Vihar, Delhi - DPCC","","","","","","",""
"Parameter","PM2.5","","","","","","",""
"AvgPeriod","24 Hours","","","","","","",""
"From","05-07-2020T00:00:00Z 00:00","","","","","","",""
"To","10-12-2020T00:00:59Z 00:00","","","","","","",""
"","","","","","","","",""
"Vivek Vihar, Delhi - DPCC","","","","","","","",""
"Prescribed Standards"," ","0-60","","","","","",""
"Exceeding Standards"," ","NA","","","","","",""
"Remarks","","","","","","","",""
"From Date","To Date","PM2.5","","","","","",""
"05-07-2020 00:00","06-07-2020 00:00","26.3","","","","","",""
"06-07-2020 00:00","07-07-2020 00:00","46.93","","","","","",""
"07-07-2020 00:00","08-07-2020 00:00","21.79","","","","","",""
"08-07-2020 00:00","09-07-2020 00:00","26.25","","","","","",""
"09-07-2020 00:00","10-07-2020 00:00","43.5","","","","","",""
"10-07-2020 00:00","11-07-2020 00:00","24.62","","","","","",""
"11-07-2020 00:00","12-07-2020 00:00","23.19","","","","","",""
"12-07-2020 00:00","13-07-2020 00:00","23.01","","","","","",""
"13-07-2020 00:00","14-07-2020 00:00","42.81","","","","","",""
"14-07-2020 00:00","15-07-2020 00:00","40.09","","","","","",""
"15-07-2020 00:00","16-07-2020 00:00","38.21","","","","","",""
"16-07-2020 00:00","17-07-2020 00:00","32.65","","","","","",""
"17-07-2020 00:00","18-07-2020 00:00","45.96","","","","","",""
"18-07-2020 00:00","19-07-2020 00:00","34.81","","","","","",""
"19-07-2020 00:00","20-07-2020 00:00","29.29","","","","","",""
"20-07-2020 00:00","21-07-2020 00:00","20.61","","","","","",""
"21-07-2020 00:00","22-07-2020 00:00","23.28","","","","","",""
"22-07-2020 00:00","23-07-2020 00:00","39.52","","","","","",""
"23-07-2020 00:00","24-07-2020 00:00","41.21","","","","","",""
"24-07-2020 00:00","25-07-2020 00:00","57.63","","","","","",""
"25-07-2020 00:00","26-07-2020 00:00","31.04","","","","","",""
"26-07-2020 00:00","27-07-2020 00:00","51.73","","","","","",""
"27-07-2020 00:00","28-07-2020 00:00","47.82","","","","","",""
"28-07-2020 00:00","29-07-2020 00:00","25.19","","","","","",""
"29-07-2020 00:00","30-07-2020 00:00","24.96","","","","","",""
"30-07-2020 00:00","31-07-2020 00:00","23.02","","","","","",""
"31-07-2020 00:00","01-08-2020 00:00","43.04","","","","","",""
"01-08-2020 00:00","02-08-2020 00:00","29.69","","","","","",""
"02-08-2020 00:00","03-08-2020 00:00","21.35","","","","","",""
"03-08-2020 00:00","04-08-2020 00:00","23.98","","","","","",""
"04-08-2020 00:00","05-08-2020 00:00","29.04","","","","","",""
"05-08-2020 00:00","06-08-2020 00:00","48.4","","","","","",""
"06-08-2020 00:00","07-08-2020 00:00","15.79","","","","","",""
"07-08-2020 00:00","08-08-2020 00:00","20.81","","","","","",""
"08-08-2020 00:00","09-08-2020 00:00","50.02","","","","","",""
"09-08-2020 00:00","10-08-2020 00:00","36","","","","","",""
"10-08-2020 00:00","11-08-2020 00:00","35.33","","","","","",""
"11-08-2020 00:00","12-08-2020 00:00","48.79","","","","","",""
"12-08-2020 00:00","13-08-2020 00:00","25.29","","","","","",""
"13-08-2020 00:00","14-08-2020 00:00","23","","","","","",""
"14-08-2020 00:00","15-08-2020 00:00","28.6","","","","","",""
"15-08-2020 00:00","16-08-2020 00:00","34.96","","","","","",""
"16-08-2020 00:00","17-08-2020 00:00","21.33","","","","","",""
"17-08-2020 00:00","18-08-2020 00:00","30.73","","","","","",""
"18-08-2020 00:00","19-08-2020 00:00","32","","","","","",""
"19-08-2020 00:00","20-08-2020 00:00","25.65","","","","","",""
"20-08-2020 00:00","21-08-2020 00:00","22.75","","","","","",""
"21-08-2020 00:00","22-08-2020 00:00","19.65","","","","","",""
"22-08-2020 00:00","23-08-2020 00:00","14.85","","","","","",""
"23-08-2020 00:00","24-08-2020 00:00","14.88","","","","","",""
"24-08-2020 00:00","25-08-2020 00:00","18.26","","","","","",""
"25-08-2020 00:00","26-08-2020 00:00","16.95","","","","","",""
"26-08-2020 00:00","27-08-2020 00:00","17.29","","","","","",""
"27-08-2020 00:00","28-08-2020 00:00","22.48","","","","","",""
"28-08-2020 00:00","29-08-2020 00:00","39.65","","","","","",""
"29-08-2020 00:00","30-08-2020 00:00","51.58","","","","","",""
"30-08-2020 00:00","31-08-2020 00:00","None","","","","","",""
"31-08-2020 00:00","01-09-2020 00:00","8.74","","","","","",""
"01-09-2020 00:00","02-09-2020 00:00","14.02","","","","","",""
"02-09-2020 00:00","03-09-2020 00:00","29.6","","","","","",""
"03-09-2020 00:00","04-09-2020 00:00","39.25","","","","","",""
"04-09-2020 00:00","05-09-2020 00:00","42.65","","","","","",""
"05-09-2020 00:00","06-09-2020 00:00","50.17","","","","","",""
"06-09-2020 00:00","07-09-2020 00:00","46.08","","","","","",""
"07-09-2020 00:00","08-09-2020 00:00","98.85","","","","","",""
"08-09-2020 00:00","09-09-2020 00:00","38.35","","","","","",""
"09-09-2020 00:00","10-09-2020 00:00","50","","","","","",""
"10-09-2020 00:00","11-09-2020 00:00","56.29","","","","","",""
"11-09-2020 00:00","12-09-2020 00:00","82.5","","","","","",""
"12-09-2020 00:00","13-09-2020 00:00","81.44","","","","","",""
"13-09-2020 00:00","14-09-2020 00:00","100.96","","","","","",""
"14-09-2020 00:00","15-09-2020 00:00","94.02","","","","","",""
"15-09-2020 00:00","16-09-2020 00:00","95.55","","","","","",""
"16-09-2020 00:00","17-09-2020 00:00","82.7","","","","","",""
"17-09-2020 00:00","18-09-2020 00:00","58.42","","","","","",""
"18-09-2020 00:00","19-09-2020 00:00","53.54","","","","","",""
"19-09-2020 00:00","20-09-2020 00:00","70.7","","","","","",""
"20-09-2020 00:00","21-09-2020 00:00","94.81","","","","","",""
"21-09-2020 00:00","22-09-2020 00:00","78.52","","","","","",""
"22-09-2020 00:00","23-09-2020 00:00","47.94","","","","","",""
"23-09-2020 00:00","24-09-2020 00:00","24.5","","","","","",""
"24-09-2020 00:00","25-09-2020 00:00","54.12","","","","","",""
"25-09-2020 00:00","26-09-2020 00:00","55","","","","","",""
"26-09-2020 00:00","27-09-2020 00:00","53.62","","","","","",""
"27-09-2020 00:00","28-09-2020 00:00","44.6","","","","","",""
"28-09-2020 00:00","29-09-2020 00:00","61.1","","","","","",""
"29-09-2020 00:00","30-09-2020 00:00","67.65","","","","","",""
"30-09-2020 00:00","01-10-2020 00:00","61.65","","","","","",""
"01-10-2020 00:00","02-10-2020 00:00","66.83","","","","","",""
"02-10-2020 00:00","03-10-2020 00:00","81.54","","","","","",""
"03-10-2020 00:00","04-10-2020 00:00","86.62","","","","","",""
"04-10-2020 00:00","05-10-2020 00:00","100.96","","","","","",""
"05-10-2020 00:00","06-10-2020 00:00","76.1","","","","","",""
"06-10-2020 00:00","07-10-2020 00:00","92.52","","","","","",""
"07-10-2020 00:00","08-10-2020 00:00","179.22","","","","","",""
"08-10-2020 00:00","09-10-2020 00:00","101.08","","","","","",""
"09-10-2020 00:00","10-10-2020 00:00","107.43","","","","","",""
"10-10-2020 00:00","11-10-2020 00:00","111.4","","","","","",""
"11-10-2020 00:00","12-10-2020 00:00","109.91","","","","","",""
"12-10-2020 00:00","13-10-2020 00:00","206.81","","","","","",""
"13-10-2020 00:00","14-10-2020 00:00","172.47","","","","","",""
"14-10-2020 00:00","15-10-2020 00:00","194.82","","","","","",""
"15-10-2020 00:00","16-10-2020 00:00","213.85","","","","","",""
"16-10-2020 00:00","17-10-2020 00:00","146.54","","","","","",""
"17-10-2020 00:00","18-10-2020 00:00","166.73","","","","","",""
"18-10-2020 00:00","19-10-2020 00:00","132.67","","","","","",""
"19-10-2020 00:00","20-10-2020 00:00","141.44","","","","","",""
"20-10-2020 00:00","21-10-2020 00:00","130.43","","","","","",""
"21-10-2020 00:00","22-10-2020 00:00","149.3","","","","","",""
"22-10-2020 00:00","23-10-2020 00:00","246.23","","","","","",""
"23-10-2020 00:00","24-10-2020 00:00","299.06","","","","","",""
"24-10-2020 00:00","25-10-2020 00:00","266.48","","","","","",""
"25-10-2020 00:00","26-10-2020 00:00","303.29","","","","","",""
"26-10-2020 00:00","27-10-2020 00:00","280.8","","","","","",""
"27-10-2020 00:00","28-10-2020 00:00","190.72","","","","","",""
"28-10-2020 00:00","29-10-2020 00:00","224.4","","","","","",""
"29-10-2020 00:00","30-10-2020 00:00","348.42","","","","","",""
"30-10-2020 00:00","31-10-2020 00:00","266.84","","","","","",""
"31-10-2020 00:00","01-11-2020 00:00","310.53","","","","","",""
"01-11-2020 00:00","02-11-2020 00:00","313.02","","","","","",""
"02-11-2020 00:00","03-11-2020 00:00","226.73","","","","","",""
"03-11-2020 00:00","04-11-2020 00:00","176.3","","","","","",""
"04-11-2020 00:00","05-11-2020 00:00","396.42","","","","","",""
"05-11-2020 00:00","06-11-2020 00:00","333.28","","","","","",""
